dim1,dim1,Rank,logRank,ClusterNo,ClusterSize,noOfNearestNeighbour
539.512024,411.975006,0.0,0.0,31,2167,11
653.468994,370.727997,0.0,0.0,26,230,5
598.585999,284.882996,0.0,0.0,31,2167,6
573.062988,294.562988,0.0,0.0,31,2167,10
139.570007,401.381012,0.0,0.0,17,2676,5
228.970001,281.992004,0.0,0.0,17,2676,6
305.747009,94.350998,3848.0,3.585347911094591,8,936,9
610.617004,167.190002,0.0,0.0,31,2167,6
500.450012,118.780998,168.0,2.2278867046136734,22,579,7
341.804993,361.755005,139.0,2.146128035678238,2,276,9
128.582993,81.598999,0.0,0.0,8,936,5
39.105,381.265991,0.0,0.0,17,2676,5
294.911987,421.480011,0.0,0.0,17,2676,8
189.214005,322.730011,44.0,1.6532125137753437,19,342,5
251.889008,69.384003,0.0,0.0,8,936,3
116.098999,296.382996,0.0,0.0,17,2676,6
86.839996,307.89801,0.0,0.0,17,2676,2
509.272003,429.165985,0.0,0.0,31,2167,6
90.306999,73.486,27971.0,4.446723519568201,8,936,10
269.270996,163.341995,0.0,0.0,12,1025,12
137.112,289.688995,0.0,0.0,17,2676,8
63.613998,406.865997,0.0,0.0,17,2676,5
224.473007,92.762001,29021.0,4.462727337772099,8,936,8
345.226013,306.391998,0.0,0.0,29,19,5
188.507996,282.093994,0.0,0.0,17,2676,9
47.276001,338.063995,0.0,0.0,17,2676,4
543.882019,319.738007,0.0,0.0,31,2167,11
84.786003,158.792007,0.0,0.0,12,1025,14
542.72998,307.096008,0.0,0.0,31,2167,5
430.753998,387.63501,0.0,0.0,17,2676,7
578.630005,455.946991,0.0,0.0,31,2167,8
374.859009,346.17099,1.0,0.3010299956639812,2,276,6
185.274002,91.510002,0.0,0.0,8,936,4
561.465027,397.192993,0.0,0.0,31,2167,3
164.585999,286.822998,0.0,0.0,17,2676,2
131.626999,166.382004,0.0,0.0,12,1025,4
377.093994,66.892998,0.0,0.0,41,7,3
386.608002,289.194,0.0,0.0,17,2676,7
531.517029,393.152008,0.0,0.0,31,2167,5
181.292999,148.632996,0.0,0.0,12,1025,8
496.5,219.106995,0.0,0.0,22,579,4
596.487,299.589996,0.0,0.0,31,2167,4
545.252991,396.721985,0.0,0.0,31,2167,8
388.901001,386.545013,0.0,0.0,17,2676,3
589.398987,453.752991,0.0,0.0,31,2167,7
310.587006,434.139008,0.0,0.0,17,2676,4
228.186005,404.265991,0.0,0.0,17,2676,3
506.63501,61.938,63.0,1.806179973983887,42,612,7
90.807999,151.570999,0.0,0.0,12,1025,4
506.355988,340.463989,0.0,0.0,31,2167,8
253.466995,414.664001,0.0,0.0,17,2676,9
572.642029,309.684998,0.0,0.0,31,2167,10
456.951996,309.30899,0.0,0.0,17,2676,6
